"county_areas","region","date","month","year","quarter","rate_homicide_con","rate_homicide_uns","rate_offences_against_the_person_con","rate_offences_against_the_person_uns","rate_sexual_offences_con","rate_sexual_offences_uns","rate_burglary_con","rate_burglary_uns","rate_robbery_con","rate_robbery_uns","rate_theft_and_handling_con","rate_theft_and_handling_uns","rate_fraud_and_forgery_con","rate_fraud_and_forgery_uns","rate_criminal_damage_con","rate_criminal_damage_uns","rate_drugs_offences_con","rate_drugs_offences_uns","rate_public_order_offences_con","rate_public_order_offences_uns","rate_all_other_offences_con","rate_all_other_offences_uns","rate_motoring_offences_con","rate_motoring_offences_uns","rate_l_motoring_offences_uns"
"Cleveland","North East",2016-09-01,"Sep","2016","Q3_2016",0,0,76.2,23.8,90.9,9.1,93.8,6.3,50,50,91.7,8.3,100,0,81.4,18.6,90.7,9.3,89.9,10.1,83.3,16.7,88,12,100
"Cumbria","North West",2016-09-01,"Sep","2016","Q3_2016",100,0,87.1,12.9,66.7,33.3,100,0,0,0,95.5,4.5,100,0,92,8,100,0,84.6,15.4,83.3,16.7,89.8,10.2,100
"Derbyshire","East Midlands",2016-09-01,"Sep","2016","Q3_2016",100,0,77.4,22.6,100,0,68.2,31.8,88.9,11.1,89.3,10.7,66.7,33.3,83.3,16.7,93.5,6.5,93.1,6.9,100,0,79.5,20.5,100
"Devon and Cornwall","South West",2016-09-01,"Sep","2016","Q3_2016",0,100,85.8,14.2,90.9,9.1,92.3,7.7,100,0,95,5,80,20,90.3,9.7,95.4,4.6,90,10,71.4,28.6,95.3,4.7,100
"Dorset","Oxfordshire",2016-09-01,"Sep","2016","Q3_2016",0,0,85.7,14.3,84.2,15.8,73.3,26.7,0,100,98.8,1.2,80,20,86.4,13.6,100,0,93.2,6.8,88.9,11.1,90.7,9.3,100
"Durham","North East",2016-09-01,"Sep","2016","Q3_2016",100,0,76.4,23.6,100,0,100,0,100,0,94.3,5.7,100,0,90.5,9.5,100,0,83.8,16.2,100,0,91.3,8.7,100
"Dyfed Powys","Cymru/Wales",2016-09-01,"Sep","2016","Q3_2016",100,0,82.5,17.5,55.6,44.4,100,0,100,0,93,7,81.8,18.2,78.6,21.4,94.4,5.6,91.9,8.1,87.5,12.5,84.6,15.4,100
"Essex","East of England",2016-09-01,"Sep","2016","Q3_2016",100,0,75.4,24.6,76.9,23.1,86.7,13.3,85.7,14.3,86.9,13.1,71.4,28.6,87.3,12.7,93.8,6.2,75.8,24.2,85.7,14.3,87,13,100
"Gloucestershire","South West",2016-09-01,"Sep","2016","Q3_2016",0,0,82.4,17.6,50,50,77.8,22.2,0,0,96.4,3.6,88.9,11.1,100,0,86.7,13.3,85.7,14.3,100,0,92.2,7.8,100
"GreaterManchester","North West",2016-09-01,"Sep","2016","Q3_2016",100,0,83,17,75.4,24.6,92.3,7.7,85.7,14.3,92.4,7.6,82.9,17.1,89,11,92.2,7.8,90.4,9.6,72.4,27.6,80.7,19.3,100
"Gwent","Cymru/Wales",2016-09-01,"Sep","2016","Q3_2016",0,0,82.3,17.7,54.5,45.5,83.3,16.7,100,0,95.2,4.8,62.5,37.5,82.8,17.2,92,8,80.6,19.4,85.7,14.3,88.3,11.7,100
"Hampshire","Oxfordshire",2016-09-01,"Sep","2016","Q3_2016",100,0,88.1,11.9,87.5,12.5,87,13,85.7,14.3,92.3,7.7,85,15,83.3,16.7,90.8,9.2,90.3,9.7,92.9,7.1,91.9,8.1,100
"Hertfordshire","Thames and Chiltern",2016-09-01,"Sep","2016","Q3_2016",50,50,79.3,20.7,100,0,85.2,14.8,100,0,90.1,9.9,85.7,14.3,78.9,21.1,96.5,3.5,78.9,21.1,94.4,5.6,83.2,16.8,100
"Humberside","Yorkshire and Humberside",2016-09-01,"Sep","2016","Q3_2016",0,0,88.1,11.9,64.4,35.6,84.8,15.2,83.3,16.7,94.4,5.6,100,0,93.3,6.7,93.1,6.9,95,5,75,25,80.3,19.7,100
"Kent","South East",2016-09-01,"Sep","2016","Q3_2016",80,20,79.3,20.7,58.6,41.4,80,20,100,0,94,6,93.8,6.3,87.7,12.3,94.7,5.3,84.9,15.1,87.9,12.1,85.8,14.2,100
"Lancashire","North West",2016-09-01,"Sep","2016","Q3_2016",100,0,79.3,20.7,96,4,87.7,12.3,83.3,16.7,94.9,5.1,96.2,3.8,75.6,24.4,87.5,12.5,94.9,5.1,90.3,9.7,82.8,17.2,100
"Leicestershire","East Midlands",2016-09-01,"Sep","2016","Q3_2016",100,0,83.3,16.7,86.5,13.5,82.4,17.6,100,0,94.1,5.9,84.6,15.4,81.8,18.2,88,12,91.1,8.9,66.7,33.3,83.6,16.4,100
"Lincolnshire","East Midlands",2016-09-01,"Sep","2016","Q3_2016",0,0,83.8,16.2,100,0,95.7,4.3,0,0,92.5,7.5,75,25,79.4,20.6,100,0,92.2,7.8,69.6,30.4,86.8,13.2,100
"Merseyside","Mersey-Cheshire",2016-09-01,"Sep","2016","Q3_2016",100,0,79.2,20.8,90.9,9.1,85.2,14.8,92.9,7.1,91.7,8.3,76.2,23.8,86,14,91.3,8.7,90,10,83.3,16.7,91.9,8.1,100
"Metropolitan and City","Greater London",2016-09-01,"Sep","2016","Q3_2016",69.2,30.8,67.5,32.5,68.3,31.7,82.2,17.8,74.1,25.9,80.8,19.2,83.6,16.4,79.6,20.4,91.2,8.8,75.9,24.1,82.9,17.1,75.8,24.2,100
"Norfolk","East of England",2016-09-01,"Sep","2016","Q3_2016",100,0,82.6,17.4,83.3,16.7,85.7,14.3,100,0,95.3,4.7,90.9,9.1,92.5,7.5,98.5,1.5,93.6,6.4,65.2,34.8,97.2,2.8,100
"Northamptonshire","East Midlands",2016-09-01,"Sep","2016","Q3_2016",0,0,76,24,100,0,100,0,60,40,96.5,3.5,66.7,33.3,80,20,100,0,84.4,15.6,85.7,14.3,86.5,13.5,100
"Northumbria","North East",2016-09-01,"Sep","2016","Q3_2016",100,0,70.6,29.4,54,46,92.9,7.1,88.9,11.1,88.6,11.4,86.4,13.6,87.2,12.8,90.5,9.5,80.9,19.1,75,25,86.3,13.7,100
"North Wales","Cymru/Wales",2016-09-01,"Sep","2016","Q3_2016",0,0,82.9,17.1,90.5,9.5,93.3,6.7,80,20,93.4,6.6,93.3,6.7,88.4,11.6,98.1,1.9,93.8,6.2,93.3,6.7,87.1,12.9,100
"North Yorkshire","Yorkshire and Humberside",2016-09-01,"Sep","2016","Q3_2016",100,0,79.3,20.7,66.7,33.3,90,10,100,0,88.8,11.2,83.3,16.7,90,10,94.1,5.9,91.7,8.3,87.5,12.5,93.9,6.1,100
"Nottinghamshire","East Midlands",2016-09-01,"Sep","2016","Q3_2016",100,0,77.1,22.9,75,25,84.6,15.4,75,25,91.7,8.3,76.9,23.1,85,15,89.8,10.2,84.5,15.5,60,40,86.3,13.7,100
"South Wales","Cymru/Wales",2016-09-01,"Sep","2016","Q3_2016",100,0,74,26,65.9,34.1,90,10,69.2,30.8,90.9,9.1,95.2,4.8,85.5,14.5,94.7,5.3,92.3,7.7,81.5,18.5,78.1,21.9,100
"South Yorkshire","Yorkshire and Humberside",2016-09-01,"Sep","2016","Q3_2016",0,0,81,19,71.4,28.6,93.1,6.9,75,25,94.5,5.5,75,25,87,13,97.4,2.6,91.3,8.7,84.6,15.4,88.6,11.4,100
"Staffordshire","West Midlands",2016-09-01,"Sep","2016","Q3_2016",100,0,77.7,22.3,76.7,23.3,88.5,11.5,100,0,95.5,4.5,100,0,85,15,98.3,1.7,87.2,12.8,89.5,10.5,85.9,14.1,100
"Suffolk","East of England",2016-09-01,"Sep","2016","Q3_2016",0,0,82.1,17.9,85.7,14.3,100,0,50,50,97.6,2.4,100,0,96.2,3.8,95,5,91.4,8.6,100,0,95.2,4.8,100
"Surrey","South East",2016-09-01,"Sep","2016","Q3_2016",0,0,75.9,24.1,68.2,31.8,94.4,5.6,100,0,88.6,11.4,82.1,17.9,91.3,8.7,93.1,6.9,87.2,12.8,100,0,93.2,6.8,100
"Sussex","South East",2016-09-01,"Sep","2016","Q3_2016",100,0,80.9,19.1,66.7,33.3,72.7,27.3,100,0,91.6,8.4,87.5,12.5,85.1,14.9,97.7,2.3,85.5,14.5,84.6,15.4,93,7,100
"Thames Valley","Thames and Chiltern",2016-09-01,"Sep","2016","Q3_2016",50,50,77.3,22.7,54.5,45.5,83.3,16.7,81,19,94.3,5.7,85.3,14.7,85,15,96.2,3.8,90.1,9.9,81.8,18.2,86.1,13.9,100
"Warwickshire","West Midlands",2016-09-01,"Sep","2016","Q3_2016",0,0,87.4,12.6,75,25,80,20,100,0,95.1,4.9,80,20,84.6,15.4,93.3,6.7,87.9,12.1,100,0,89.4,10.6,100
"West Mercia","West Midlands",2016-09-01,"Sep","2016","Q3_2016",100,0,78.1,21.9,76.3,23.7,77.8,22.2,100,0,95.7,4.3,100,0,88.4,11.6,98.6,1.4,93.5,6.5,100,0,78.1,21.9,100
"West Midlands","West Midlands",2016-09-01,"Sep","2016","Q3_2016",100,0,79.5,20.5,63.8,36.2,85.4,14.6,70.7,29.3,93.6,6.4,88.4,11.6,87.7,12.3,94.8,5.2,82.6,17.4,87.5,12.5,81,19,100
"West Yorkshire","Yorkshire and Humberside",2016-09-01,"Sep","2016","Q3_2016",100,0,77.1,22.9,81.2,18.8,85.4,14.6,85.7,14.3,94,6,74.4,25.6,80.7,19.3,89.3,10.7,88.4,11.6,95.1,4.9,86,14,100
"Wiltshire","Oxfordshire",2016-09-01,"Sep","2016","Q3_2016",100,0,84.7,15.3,100,0,70,30,100,0,95.5,4.5,100,0,100,0,100,0,91.1,8.9,100,0,89.2,10.8,100
"Avon and Somerset","South West",2016-10-01,"Oct","2016","Q4_2016",75,25,82.3,17.7,82.7,17.3,87.5,12.5,100,0,93.5,6.5,95.7,4.3,82,18,94.2,5.8,89,11,93.3,6.7,85.4,14.6,100
"Bedfordshire","Thames and Chiltern",2016-10-01,"Oct","2016","Q4_2016",0,0,74.7,25.3,75,25,100,0,85.7,14.3,92.5,7.5,87.5,12.5,88.2,11.8,96.4,3.6,80,20,85.7,14.3,71.2,28.8,100
"Cambridgeshire","East of England",2016-10-01,"Oct","2016","Q4_2016",100,0,87.9,12.1,83.3,16.7,95.5,4.5,60,40,91.4,8.6,100,0,89.7,10.3,94.1,5.9,91.4,8.6,100,0,90.5,9.5,100
"Cheshire","Mersey-Cheshire",2016-10-01,"Oct","2016","Q4_2016",100,0,80.3,19.7,60,40,93.5,6.5,50,50,94.2,5.8,88.9,11.1,85,15,97.6,2.4,89.5,10.5,84.2,15.8,90.5,9.5,100
"Cleveland","North East",2016-10-01,"Oct","2016","Q4_2016",0,0,78,22,50,50,84.2,15.8,33.3,66.7,93.2,6.8,94.1,5.9,70,30,96.2,3.8,97.9,2.1,100,0,90.5,9.5,100
"Cumbria","North West",2016-10-01,"Oct","2016","Q4_2016",0,0,91.6,8.4,100,0,100,0,0,0,96.9,3.1,100,0,82.6,17.4,96,4,92.5,7.5,100,0,87.3,12.7,100
"Derbyshire","East Midlands",2016-10-01,"Oct","2016","Q4_2016",0,0,84.7,15.3,88.9,11.1,64,36,83.3,16.7,84.3,15.7,86.7,13.3,84.8,15.2,88.7,11.3,91.3,8.8,85.7,14.3,83.1,16.9,100
"Devon and Cornwall","South West",2016-10-01,"Oct","2016","Q4_2016",100,0,85.3,14.7,71.4,28.6,94.6,5.4,100,0,96.4,3.6,81.3,18.8,84.4,15.6,93.7,6.3,82.5,17.5,75,25,89.1,10.9,100
"Dorset","Oxfordshire",2016-10-01,"Oct","2016","Q4_2016",100,0,88.1,11.9,87.5,12.5,77.8,22.2,100,0,96.3,3.8,77.8,22.2,93.5,6.5,96.7,3.3,96.4,3.6,100,0,88.3,11.7,100
"Durham","North East",2016-10-01,"Oct","2016","Q4_2016",100,0,84.7,15.3,66.7,33.3,87.5,12.5,100,0,93.4,6.6,75,25,95.7,4.3,90,10,85.7,14.3,100,0,96.3,3.7,100
"Dyfed Powys","Cymru/Wales",2016-10-01,"Oct","2016","Q4_2016",100,0,82.1,17.9,60,40,91.7,8.3,50,50,97.2,2.8,100,0,76.2,23.8,98,2,92.9,7.1,100,0,79.5,20.5,100
"Essex","East of England",2016-10-01,"Oct","2016","Q4_2016",25,75,81.1,18.9,74.2,25.8,86.7,13.3,100,0,90.4,9.6,64.5,35.5,90.2,9.8,93.8,6.3,88.5,11.5,73.7,26.3,84.2,15.8,100
"Gloucestershire","South West",2016-10-01,"Oct","2016","Q4_2016",0,0,77.6,22.4,100,0,100,0,0,100,90.2,9.8,77.8,22.2,93.8,6.3,100,0,76.5,23.5,100,0,91.8,8.2,100
"GreaterManchester","North West",2016-10-01,"Oct","2016","Q4_2016",100,0,80.6,19.4,70.2,29.8,90.8,9.2,90,10,97,3,89.3,10.7,83.5,16.5,91.5,8.5,93.1,6.9,86.5,13.5,83.7,16.3,100
"Gwent","Cymru/Wales",2016-10-01,"Oct","2016","Q4_2016",100,0,83.2,16.8,87.5,12.5,82.4,17.6,100,0,92,8,100,0,81.8,18.2,88.6,11.4,88.9,11.1,85.7,14.3,85.6,14.4,100
"Hampshire","Oxfordshire",2016-10-01,"Oct","2016","Q4_2016",75,25,86,14,75,25,93.1,6.9,80,20,96.5,3.5,86.1,13.9,84.2,15.8,98.4,1.6,80.6,19.4,91.3,8.7,92.2,7.8,100
"Hertfordshire","Thames and Chiltern",2016-10-01,"Oct","2016","Q4_2016",100,0,76.3,23.7,69.6,30.4,92.3,7.7,100,0,92.2,7.8,90.9,9.1,77.1,22.9,93.3,6.7,78,22,92.3,7.7,82.8,17.2,100
"Humberside","Yorkshire and Humberside",2016-10-01,"Oct","2016","Q4_2016",75,25,90,10,82.4,17.6,87.1,12.9,66.7,33.3,93,7,90.9,9.1,86.5,13.5,95,5,93.2,6.8,100,0,91.1,8.9,100
"Kent","South East",2016-10-01,"Oct","2016","Q4_2016",100,0,75.6,24.4,69,31,86.7,13.3,84.6,15.4,92,8,89.7,10.3,81.5,18.5,98.9,1.1,77.1,22.9,90.9,9.1,93,7,100
"Lancashire","North West",2016-10-01,"Oct","2016","Q4_2016",100,0,80.3,19.7,83.3,16.7,94,6,76.2,23.8,96.1,3.9,90.9,9.1,88,12,88.3,11.7,86.2,13.8,83.3,16.7,81.5,18.5,100
"Leicestershire","East Midlands",2016-10-01,"Oct","2016","Q4_2016",100,0,88.1,11.9,83.3,16.7,85.7,14.3,63.6,36.4,94,6,81,19,87,13,89.4,10.6,80.3,19.7,85.7,14.3,84.6,15.4,100
